Date,Open,High,Low,Close,Adj Close,Volume
2019-09-20,324.989990,330.899994,312.000000,318.820007,318.820007,2783200
2019-09-23,317.779999,325.470001,310.713989,313.260010,313.260010,2469300
2019-09-24,313.559998,315.839996,287.570007,295.470001,295.470001,5263400
2019-09-25,292.000000,315.825012,286.070007,314.600006,314.600006,5484400
2019-09-26,314.820007,316.190002,302.359985,313.140015,313.140015,2935900
2019-09-27,314.000000,316.399994,301.709991,305.690002,305.690002,2181200
2019-09-30,304.690002,316.489990,302.029999,311.660004,311.660004,2060200
2019-10-01,311.660004,320.000000,308.799988,313.220001,313.220001,2010700
2019-10-02,309.640015,311.170013,300.700012,310.359985,310.359985,2206200
2019-10-03,311.440002,326.600006,304.175995,325.570007,325.570007,3137200
2019-10-04,327.470001,330.450012,320.100006,327.200012,327.200012,2754000
2019-10-07,326.820007,331.570007,322.160004,326.320007,326.320007,1400600
2019-10-08,322.500000,325.690002,310.799988,311.049988,311.049988,1967300
2019-10-09,313.500000,316.709991,311.670013,313.850006,313.850006,1448800
2019-10-10,314.470001,329.290009,311.010010,324.470001,324.470001,2175800
2019-10-11,330.869995,337.329987,324.459991,329.260010,329.260010,2261200
2019-10-14,328.989990,346.029999,328.670013,344.299988,344.299988,2122400
2019-10-15,347.100006,349.440002,343.700012,346.079987,346.079987,2033400
2019-10-16,342.010010,343.649994,322.239990,323.640015,323.640015,2489200
2019-10-17,326.500000,333.920013,324.000000,331.339996,331.339996,1684300
2019-10-18,332.000000,335.000000,312.130005,314.339996,314.339996,2657600
2019-10-21,317.000000,326.559998,311.609985,319.730011,319.730011,1797200
2019-10-22,323.500000,326.799988,295.299988,299.690002,299.690002,3090400
2019-10-23,298.209991,309.772003,291.059998,297.140015,297.140015,2366000
2019-10-24,301.959991,324.239990,301.029999,323.339996,323.339996,3133500
2019-10-25,316.720001,321.359985,309.119995,317.450012,317.450012,2241600
2019-10-28,322.489990,329.179993,312.820007,324.929993,324.929993,2842500
2019-10-29,306.000000,321.880005,298.640015,312.519989,312.519989,5351800
2019-10-30,313.320007,319.940002,308.459991,319.119995,319.119995,2041800
2019-10-31,316.410004,319.850006,308.739990,313.570007,313.570007,1789400
2019-11-01,316.250000,322.079987,312.869995,316.760010,316.760010,1600500
2019-11-04,318.380005,321.000000,303.769989,307.910004,307.910004,2622600
2019-11-05,308.089996,309.049988,294.462006,295.500000,295.500000,2806000
2019-11-06,296.920013,300.700012,291.510010,295.019989,295.019989,1635900
2019-11-07,295.549988,297.489990,282.440002,285.750000,285.750000,2448900
2019-11-08,282.079987,298.809998,282.079987,297.640015,297.640015,2467200
2019-11-11,296.040009,305.200012,293.459991,303.320007,303.320007,1747800
2019-11-12,301.820007,310.748993,301.820007,305.559998,305.559998,1677200
2019-11-13,305.000000,314.839996,302.640015,314.309998,314.309998,1964200
2019-11-14,314.320007,319.890015,309.355011,312.450012,312.450012,1653500
2019-11-15,314.929993,315.309998,309.700012,312.380005,312.380005,1020500
2019-11-18,312.730011,325.829987,310.350006,322.980011,322.980011,1743500
2019-11-19,323.230011,325.779999,314.510010,316.279999,316.279999,1428400
2019-11-20,314.380005,325.118011,312.000000,317.049988,317.049988,1656900
2019-11-21,317.500000,321.980011,314.200012,316.070007,316.070007,1353100
2019-11-22,318.760010,320.000000,309.733002,314.519989,314.519989,1116300
2019-11-25,315.089996,318.739990,312.320007,317.070007,317.070007,1371800
2019-11-26,317.940002,337.170013,317.079987,336.190002,336.190002,2876600
2019-11-27,337.510010,342.649994,330.079987,341.000000,341.000000,2413600
2019-11-29,339.899994,344.000000,335.510010,336.750000,336.750000,1206700
2019-12-02,336.000000,336.000000,311.532013,330.839996,330.839996,2970200
2019-12-03,321.010010,351.309998,320.000000,350.660004,350.660004,3269800
2019-12-04,350.000000,376.910004,349.510010,372.000000,372.000000,5600800
2019-12-05,371.029999,376.589996,360.260010,363.589996,363.589996,3242200
2019-12-06,367.799988,372.290009,360.750000,364.600006,364.600006,2198700
2019-12-09,365.179993,381.109985,364.000000,369.790009,369.790009,4074600
2019-12-10,373.510010,373.970001,364.545990,368.000000,368.000000,1514700
2019-12-11,368.410004,374.500000,365.510010,373.079987,373.079987,1837900
2019-12-12,372.000000,376.299988,364.910004,372.049988,372.049988,2171400
2019-12-13,370.450012,392.000000,370.450012,385.570007,385.570007,3257000
2019-12-16,389.739990,396.670013,383.000000,393.630005,393.630005,2621700
2019-12-17,393.000000,397.000000,380.630005,387.950012,387.950012,2464100
2019-12-18,391.019989,404.799988,390.535004,396.940002,396.940002,3070700
2019-12-19,395.589996,401.980011,391.269989,393.059998,393.059998,1941000
2019-12-20,393.049988,398.696014,387.510010,390.070007,390.070007,1684200
2019-12-23,392.869995,398.709991,388.029999,389.130005,389.130005,1429000
2019-12-24,389.809998,400.640015,386.140015,399.390015,399.390015,1527300
2019-12-26,402.760010,416.600006,402.399994,408.750000,408.750000,2349800
2019-12-27,411.510010,415.799988,403.109985,408.000000,408.000000,1913300
2019-12-30,408.380005,409.320007,392.109985,396.359985,396.359985,1826900
